FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-07-21,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,314,JFK,"New York, NY",SFO,"San Francisco, CA",2110,,,,,,,106,,,CANCELLED,A,NOT DIVERTED,416.0,,,2586.0,,,,,,2022
2022-01-21,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,6010,BNA,"Nashville, TN",IAH,"Houston, TX",1255,,,,,,,1524,,,CANCELLED,A,NOT DIVERTED,149.0,,,657.0,,,,,,2022
2022-11-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2525,ORD,"Chicago, IL",MCO,"Orlando, FL",1330,,,,,,,1718,,,CANCELLED,B,NOT DIVERTED,168.0,,,1005.0,,,,,,2022
2022-04-20,JetBlue Airways,JetBlue Airways: B6,B6,20409,276,SJU,"San Juan, PR",BDL,"Hartford, CT",1507,,,,,,,1907,,,CANCELLED,A,NOT DIVERTED,240.0,,,1666.0,,,,,,2022
2022-01-09,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5727,DCA,"Washington, DC",ALB,"Albany, NY",2210,,,,,,,2335,,,CANCELLED,B,NOT DIVERTED,85.0,,,318.0,,,,,,2022
2022-01-06,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3965,DTW,"Detroit, MI",GRR,"Grand Rapids, MI",825,,,,,,,935,,,CANCELLED,A,NOT DIVERTED,70.0,,,120.0,,,,,,2022
2022-02-04,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,214,SFO,"San Francisco, CA",LAX,"Los Angeles, CA",740,,,,,,,911,,,CANCELLED,A,NOT DIVERTED,91.0,,,337.0,,,,,,2022
2022-11-19,JetBlue Airways,JetBlue Airways: B6,B6,20409,1586,MCO,"Orlando, FL",BUF,"Buffalo, NY",1630,,,,,,,1906,,,CANCELLED,C,NOT DIVERTED,156.0,,,1011.0,,,,,,2022
2022-06-20,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1501,PHX,"Phoenix, AZ",SLC,"Salt Lake City, UT",1016,,,,,,,1259,,,CANCELLED,A,NOT DIVERTED,103.0,,,507.0,,,,,,2022
2022-02-03,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5648,ORD,"Chicago, IL",FWA,"Fort Wayne, IN",1800,,,,,,,2020,,,CANCELLED,B,NOT DIVERTED,80.0,,,157.0,,,,,,2022
